test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
4,0,6,0,5.7042481849123305e-11,4.749738363035716e-12
4,0,7,0,8.27512919299167e-11,8.168908605110659e-11
4,0,8,0,3.7425007537450483e-10,3.7424599530488933e-10
4,0,9,0,3.163917426718399e-06,3.1639176540920744e-06
4,0,10,0,1.350866654092897e-07,1.350866654092897e-07
4,0,11,0,1.1233379406793559e-13,1.1233359078002825e-13
4,0,12,0,2.3884103996723502e-17,2.7336900630127036e-18
4,0,13,0,1.7313444921436202e-14,5.686316404584146e-15
4,0,14,0,6.872712576995454e-13,1.5583643045696122e-13
4,0,15,0,2.6139039377426343e-08,2.6084855164754117e-08
4,0,16,0,1.0214985195489135e-06,1.0214309895673068e-06
4,0,17,0,1.5898167227135218e-09,4.0566336401148817e-10
4,0,18,0,2.0616086615632412e-08,5.5280935384871555e-09
4,0,19,0,4.814978638023604e-07,6.939426100416313e-08
4,0,20,0,6.448728839814066e-08,2.0444963055865628e-08
4,0,21,0,8.908854169931146e-07,8.906922062124067e-07
4,0,22,0,9.031570516526699e-05,9.031570516526699e-05
4,0,23,0,1.4541075010754412e-08,1.4541075010754412e-08
4,0,24,0,1.8454054829527633e-15,1.8439549390305903e-15
4,0,25,0,2.656595485754266e-19,1.8805018063264548e-19
4,0,26,0,2.8588886050111265e-18,2.845103226512624e-18
4,0,27,0,2.670886481545478e-14,2.670886481545478e-14
4,0,28,0,3.9782375310659646e-11,3.9782375310659646e-11
4,0,29,0,1.594523260173633e-13,1.594523260173633e-13
4,0,30,0,1.5296677867315212e-20,1.5296676251728078e-20
4,0,31,0,1.1373077928495698e-25,6.566539804817923e-26
4,0,32,0,9.035287166619794e-22,8.961980910161374e-22
4,1,1,1,0.27605101466178894,0.27464380860328674
4,1,2,1,0.03800278902053833,0.0363757498562336
4,1,3,1,0.037081483751535416,0.03578439727425575
4,1,4,1,0.045655980706214905,0.04370800033211708
4,1,5,0,0.04017990455031395,0.038692656904459
4,1,6,0,0.037813201546669006,0.03638570383191109
4,1,7,0,0.03266869857907295,0.03162705525755882
4,1,8,0,0.03126269206404686,0.030209822580218315
4,1,9,0,0.030011262744665146,0.029053444042801857
