test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
3,1,31,0,0.01642170175909996
3,1,32,0,0.01642170175909996
4,0,1,1,0.22466666996479034
4,0,2,1,0.22466666996479034
4,0,3,1,0.13534843921661377
4,0,4,1,0.13534843921661377
4,0,5,0,0.009990543127059937
4,0,6,0,0.009990543127059937
4,0,7,0,0.01230535563081503
4,0,8,0,0.01230535563081503
4,0,9,0,0.025842538103461266
4,0,10,0,0.025842538103461266
4,0,11,0,0.009862583130598068
4,0,12,0,0.009862583130598068
4,0,13,0,0.007562282029539347
4,0,14,0,0.007562282029539347
4,0,15,0,0.0077481041662395
4,0,16,0,0.0077481041662395
4,0,17,0,0.008310636505484581
4,0,18,0,0.008310636505484581
4,0,19,0,0.008179728873074055
4,0,20,0,0.008179728873074055
4,0,21,0,0.007421071175485849
4,0,22,0,0.007421071175485849
4,0,23,0,0.008924172259867191
4,0,24,0,0.008924172259867191
4,0,25,0,0.006711138412356377
4,0,26,0,0.006711138412356377
4,0,27,0,0.006709816865622997
4,0,28,0,0.006709816865622997
4,0,29,0,0.007688410580158234
4,0,30,0,0.007688410580158234
4,0,31,0,0.01272850763052702
4,0,32,0,0.01272850763052702
4,1,1,1,0.04547907039523125
4,1,2,1,0.04547907039523125
4,1,3,1,0.045594971626996994
4,1,4,1,0.045594971626996994
4,1,5,0,0.04264453426003456
4,1,6,0,0.04264453426003456
4,1,7,0,0.037692584097385406
4,1,8,0,0.037692584097385406
4,1,9,0,0.034696195274591446
4,1,10,0,0.034696195274591446
4,1,11,0,0.03289133682847023
4,1,12,0,0.03289133682847023
4,1,13,0,0.03335319086909294
4,1,14,0,0.03335319086909294
4,1,15,0,0.03286680579185486
4,1,16,0,0.03286680579185486
4,1,17,0,0.030842870473861694
4,1,18,0,0.030842870473861694
4,1,19,0,0.028442783281207085
4,1,20,0,0.028442783281207085
4,1,21,0,0.026089804247021675
4,1,22,0,0.026089804247021675
4,1,23,0,0.02490939386188984
4,1,24,0,0.02490939386188984
4,1,25,0,0.024879682809114456
4,1,26,0,0.024879682809114456
4,1,27,0,0.024878453463315964
4,1,28,0,0.024878453463315964
4,1,29,0,0.018809443339705467
4,1,30,0,0.018809443339705467
4,1,31,0,0.015928933396935463
4,1,32,0,0.015928933396935463
5,0,1,1,0.2253529131412506
